ï»¿Title,Copyright Year,Contributors,Publisher,Description,License,ISBN13
Introduction to Economic Analysis,2009,"Preston McAfee, Caltech - Author
Tracy R Lewis, Duke University - Author",Saylor Foundation,"This book presents standard intermediate microeconomics material and some material that, in the authors' view, ought to be standard but is not. Introductory economics material is integrated. Standard mathematical tools, including calculus, are used throughout. The book easily serves as an intermediate microeconomics text, and can be used for a relatively sophisticated undergraduate who has not taken a basic university course in economics. The focus of this book is on the conceptual tools and not on fluff. As such, it reflects the approach actually adopted by the majority of economists for understanding economic activity. There are lots of models and equations, and no pictures of economists ;-) Economic analysis is used in many situations. When British Petroleum sets the price for Alaskan crude oil, it uses an estimated demand model, both for gasoline consumers and also for the refineries to which BP sells. Economic analysis was used by experts in the antitrust suit brought by the U.S. Department of Justice both to understand Microsoft's incentive to foreclose (eliminate from the market) rival Netscape and consumer behavior in the face of alleged foreclosure. Stock market analysts use economic models to forecast the profits of companies to predict the price of their stocks. When the government forecasts the budget deficit or considers a change in environmental regulations, it uses economic models. This book presents the building blocks of the models in common use by an army of economists thousands of times per day. This book, plus econometrics, provides most of the economic analysis tools to take upper division economics courses of any type.",Attribution-NonCommercial-ShareAlike,9781946135193
Introduction to Psychology,2015,,University of Minnesota Libraries Publishing,"When you teach Introduction to Psychology, do you find it difficult â€” much harder than teaching classes in statistics or research methods? Do you easily give a lecture on the sympathetic nervous system, a lecture on Piaget, and a lecture on social cognition, but struggle with linking these topics together for the student? Do you feel like you are presenting a laundry list of research findings rather than an integrated set of principles and knowledge? Have you wondered how to ensure your course is relevant to your students? Introduction to Psychology utilizes the dual theme of behavior and empiricism to make psychology relevant to intro students. The author wrote this book to help students organize their thinking about psychology at a conceptual level. Five or ten years from now, he does not expect his students to remember the details of most of what he teaches them. However, he does hope that they will remember that psychology matters because it helps us understand behavior and that our knowledge of psychology is based on empirical study. This book is designed to facilitate these learning outcomes, and he has used three techniques to help focus students on behavior: Chapter Openers: Each chapter opens showcasing an interesting real world example of people who dealing with behavioral questions and who can use psychology to help them answer them. The opener is designed to draw the student into the chapter and create an interesting in learning about the topic. Psychology in Everyday Life: Each chapter contains one or two features designed to link the principles from the chapter to real-world applications in business, environment, health, law, learning, and other relevant domains. For instance, the application in Chapter 7 on Development, â€�What makes good parentsâ€œ applies the concepts of parenting styles in a mini-handbook about parenting, and the application in Chapter 3 is about the difficulties that left-handed people face performing everyday tasks in a right-handed world. Research Foci: Introduction to Psychology emphasizes empiricism throughout, but without making it a distraction from the main story line. Each chapter presents two close-ups on research â€” well articulated and specific examples of research within the content area, each including a summary of the hypotheses, methods, results, and interpretations. This feature provides a continuous thread that reminds students of the importance of empirical research. The research foci also emphasize the fact that findings are not always predictable ahead of time (dispelling the myth of hindsight bias), and also help students understand how research really works. The author's focus on behavior and empiricism has produced, Introduction to Psychology, a text that is better organized, has fewer chapters, and is somewhat shorter than many of the leading books. Now, you don't have to believe us. Check the book out online or order your desk copy today.",Attribution-NonCommercial-ShareAlike,9781936126583
Principles of Marketing,2015,,University of Minnesota Libraries Publishing,"Principles of Marketing teaches the experience and process of actually doing marketing â€“ not just the vocabulary. It carries five dominant themes throughout in order to expose students to marketing in today's environment: Service dominant logic â€” This textbook employs the term ""offering"" instead of the more traditional First ""P"" â€” product. That is because consumers don't sacrifice value when alternating between a product and a service. They are evaluating the entire experience, whether they interact with a product, a service, or a combination. So the fundamental focus is providing value throughout the value chain, whether that value chain encompasses a product, service, or both. Sustainability â€” Increasingly, companies are interested in the impact they are having on their local community as well as the overall environment. This is often referred to as the ""triple bottom line"" of financial, social, and environment performance. Ethics and social responsibility â€” Following on the sustainability notion is the broader importance of ethics and social responsibility in creating successful organizations. The authors make consistent references to ethical situations throughout chapter coverage, and end of chapter material in most chapters will encompass ethical situations. Global coverage â€” the authors deliberately entitled Chapter 1 ""What is Marketing?"" Whether it is today's price of gasoline, the current U.S. presidential race, or Midwestern U.S. farming, almost every industry and company needs strong global awareness. And today's marketing professionals must understand the world in which they and their companies operate. Metrics â€” Firms today have the potential to gather more information than ever before about their current and potential customers. That information gathering can be costly, but it can also be very revealing. With the potential to capture so much more detail about micro transactions, firms should now be more able to answer ""well, what this marketing strategy really worth it?"" And ""what is the marketing ROI?"" And finally, ""what is this customer or set of customers worth to us over their lifetime?""",Attribution-NonCommercial-ShareAlike,
The Legal and Ethical Environment of Business,2011,"Terence Lau, University of Dayton - Author
Lisa Johnson, University of Puget Sound - Author",Saylor Foundation,"Terence Lau & Lisa Johnson's The Legal and Ethical Environment of Business is a book for today's student, who expects learning to be comprised not only of substance, but also of interactive exercises and multimedia. This book streamlines the presentation of material to ensure that every page is relevant, engaging, and interesting to undergraduate business students, without losing the depth of coverage that they need to be successful in their academic journeys and in their professional careers. This is not Legal Environment of Business (LEB) â€�light.â€œ Rather, this is LEB without risk of students' eyes glazing over in boredom or from lack of comprehension. This is LEB presented in an exciting way, where every page is interesting to students and relevant to real life. The authors recognize that the sheer volume of information to be covered in a LEB course makes it one of the more challenging courses for the business undergraduate. Not only do typical LEB texts read like the first year curriculum at law school, but also the LEB course is grounded in the humanities, which can make the subject even more demanding for students who are also taking statistics, economics, finance, and accounting. Each chapter contains not only substantive law, but also illustrative videos, interactive exercises for hands-on learning, and discussion questions for critical thought. Additionally, each chapter presents â€�A Question of Ethicsâ€œ section, which contains real world ethical dilemmas relevant to the topic under study. These videos, exercises, discussion questions, and ethics sections all provide opportunities for students to apply concepts that they are learning in the context of relevant LEB topics that shape or restrain actual decision-makers' actions. It's real world practice in the safety of the classroom environment. Lau & Johnson's The Legal and Ethical Environment of Business is a textbook that students will enjoy reading. This will encourage them to come to class prepared, and free you to teach the kind of course you want to teach. Request a desk copy and see for yourself.",Attribution-NonCommercial-ShareAlike,9781946135285
Whitman Calculus,2010,"David Guichard, Whitman College - Author",Independent,"An introductory level single variable calculus book, covering standard topics in differential and integral calculus, and infinite series. Late transcendentals and multivariable versions are also available. This textbook has been used in classes at:Boise State University,Claremont McKenna College,University of Minnesota, University of Puget Sound, Western Connecticut State University, Whitman College.",Attribution-NonCommercial-ShareAlike,
Writing for Success,2015,,University of Minnesota Libraries Publishing,"Writing for Success is a text that provides instruction in steps, builds writing, reading, and critical thinking, and combines comprehensive grammar review with an introduction to paragraph writing and composition. Beginning with the sentence and its essential elements, this book addresses each concept with clear, concise and effective examples that are immediately reinforced with exercises and opportunities to demonstrate, and reinforce, learning. Each chapter allows your students to demonstrate mastery of the principles of quality writing. With its incremental approach, it can address a range of writing levels and abilities, helping each student in your course prepare for their next writing or university course. Constant reinforcement is provided through examples and exercises, and the text involves students in the learning process through reading, problem-solving, practicing, listening, and experiencing the writing process. Each chapter also has integrated examples that unify the discussion and form a common, easy-to-understand basis for discussion and exploration. This will put your students at ease, and allow for greater absorption of the material. Tips for effective writing are included in every chapter, as well. Thought-provoking scenarios provide challenges and opportunities for collaboration and interaction. These exercises are especially helpful if you incorporate group work in your course. Clear exercises teach sentence and paragraph writing skills that lead to common English composition and research essays. Features: Exercises are integrated in each segment. Each concept is immediately reinforced as soon as it is introduced to keep students on track. Exercises are designed to facilitate interaction and collaboration. This allows for peer-peer engagement, development of interpersonal skills, and promotion of critical thinking skills. Exercises that involve self-editing and collaborative writing are featured. This feature develops and promotes student interest in the areas and content. There are clear internal summaries and effective displays of information. This contributes to ease of access to information and increases the ability of your students to locate desired content. Rule explanations are simplified with clear, relevant, and theme-based examples. This feature provides context that will facilitate learning and increase knowledge retention. There is an obvious structure to the chapter and segment level. This allows for easy adaptation to your existing and changing course needs or assessment outcomes.",Attribution-NonCommercial-ShareAlike,
An Introduction to Formal Logic,2012,"P.D. Magnus, University of Albany, State University of New York - Author",Fecundity,"forall x is an introduction to sentential logic and first-order predicate logic with identity, logical systems that significantly influenced twentieth-century analytic philosophy. After working through the material in this book, a student should be able to understand most quantified expressions that arise in their philosophical reading. This books treats symbolization, formal semantics, and proof theory for each language. The discussion of formal semantics is more direct than in many introductory texts. Although forall x does not contain proofs of soundness and completeness, it lays the groundwork for understanding why these are things that need to be proven. Throughout the book, I have tried to highlight the choices involved in developing sentential and predicate logic. Students should realize that these two are not the only possible formal languages. In translating to a formal language, we simplify and profit in clarity. The simplification comes at a cost, and different formal languages are suited to translating different parts of natural language. The book is designed to provide a semester's worth of material for an introductory college course. It would be possible to use the book only for sentential logic, by skipping chapters 4-5 and parts of chapter 6.",Attribution-ShareAlike,
College Trigonometry,2011,"Carl Stitz, Lakeland Community College - Author
Jeff Zeager, Lorain County Community College - Author",Stitz Zeager Open Source Mathematics,Covers chapters 10-11 of Precalculus.,Attribution-NonCommercial-ShareAlike,
Precalculus,2013,"Carl Stitz, Lakeland Community College - Author
Jeff Zeager, Lorain County Community College - Author",Stitz Zeager Open Source Mathematics,"A casual glance through the Table of Contents of most of the major publishers' College Algebra books reveals nearly isomorphic content in both order and depth. Our Table of Contents shows a different approach, one that might be labeled â€œFunctions First.â€� To truly use The Rule of Four, that is, in order to discuss each new concept algebraically, graphically, numerically and verbally, it seems completely obvious to us that one would need to introduce functions first. (Take a moment and compare our ordering to the classic â€œequations first, then the Cartesian Plane and THEN functionsâ€� approach seen in most of the major players.) We then introduce a class of functions and discuss the equations, inequalities (with a heavy emphasis on sign diagrams) and applications which involve functions in that class. The material is presented at a level that definitely prepares a student for Calculus while giving them relevant Mathematics which can be used in other classes as well. Graphing calculators are used sparingly and only as a tool to enhance the Mathematics, not to replace it. The answers to nearly all of the computational homework exercises are given in thetext and we have gone to great lengths to write some very thought provoking discussion questions whose answers are not given. One will notice that our exercise sets are much shorter than the traditional sets of nearly 100 â€œdrill and killâ€� questions which build skill devoid of understanding. Our experience has been that students can do about 15-20 homework exercises a night so we very carefully chose smaller sets of questions which cover all of the necessary skills and get the students thinking more deeply about the Mathematics involved.",Attribution-NonCommercial-ShareAlike,
Light and Matter,2010,"Benjamin Crowell, Fullerton College - Author",Independent,"This is an introductory text intended for a one-year introductory course of the type typically taken by biology majors, or for AP Physics B. Algebra and trig are used, and there are optional calculus-based sections.",Attribution-ShareAlike,9781938168000
OpenIntro Statistics,2015,"David M. Diez, Harvard School of Public Health - Author
Christopher D. Barr, Harvard School of Public Health - Author
Mine Cetinkaya-Rundel, Duke University - Author",OpenIntro,"OpenIntro Statistics 3rd Edition strives to be a complete introductory textbook of the highest caliber. Its core derives from the classic notions of statistics education and is extended by recent innovations. The textbook meets high quality standards and has been used at Princeton, Vanderbilt, UMass Amherst, and many other schools. We look forward to expanding the reach of the project and working with teachers from all colleges and schools. The chapters of this book are as follows: Introduction to data. Data structures, variables, summaries, graphics, and basicdata collection techniques. Probability (special topic). The basic principles of probability. An understandingof this chapter is not required for the main content in Chapters 3-8. Distributions of random variables. Introduction to the normal model and otherkey distributions. Foundations for inference. General ideas for statistical inference in the context ofestimating the population mean. Inference for numerical data. Inference for one or two sample means using the normal model and t distribution, and also comparisons of many means using ANOVA. Inference for categorical data. Inference for proportions using the normal and chi-square distributions, as well as simulation and randomization techniques. Introduction to linear regression. An introduction to regression with two variables.Most of this chapter could be covered after Chapter 1. Multiple and logistic regression. An introduction to multiple regression and logistic regression for an accelerated course. OpenIntro Statistics was written to allow exibility in choosing and ordering coursetopics. The material is divided into two pieces: main text and special topics. The maintext has been structured to bring statistical inference and modeling closer to the front of acourse. Special topics, labeled in the table of contents and in section titles, may be addedto a course as they arise naturally in the curriculum.",Attribution-ShareAlike,9781938168413
College Physics,2012,"Multiple Authors, Openstax College - Author",OpenStax,"This introductory, algebra-based, two-semester college physics book is grounded with real-world examples, illustrations, and explanations to help students grasp key, fundamental physics concepts. This online, fully editable and customizable title includes learning objectives, concept questions, links to labs and simulations, and ample practice opportunities to solve traditional physics application problems. OpenStax College has compiled many resources for faculty and students, from faculty-only content to interactive homework and study guides. Additional instructor materials are also available.",Attribution,9781946135049
Introduction to Sociology 2e,2015,"Multiple Authors, OpenStax - Author",OpenStax,"Introduction to Sociology 2e adheres to the scope and sequence of a typical, one-semester introductory sociology course. It offers comprehensive coverage of core concepts, foundational scholars, and emerging theories. The textbook presents section reviews with rich questions, discussions that help students apply their knowledge, and features that draw learners into the discipline in meaningful ways. The second edition has been updated significantly to reflect the latest research and current, relevant examples. Changes made in Introduction to Sociology 2e are described in the preface to help instructors transition to the second edition.",Attribution,9781453320181
American Government and Politics in the Information Age,2016,,University of Minnesota Libraries Publishing,"This text is a comprehensive introduction to the vital subject of American government and politics. Governments decide who gets what, when, how (See Harold D. Lasswell, Politics: Who Gets What, When, How, [New York: McGraw-Hill, 1936]); they make policies and pass laws that are binding on all a society's members; they decide about taxation and spending, benefits and costs, even life and death. Governments possess powerâ€”the ability to gain compliance and to get people under their jurisdiction to obey themâ€”and they may exercise their power by using the police and military to enforce their decisions. However, power need not involve the exercise of force or compulsion; people often obey because they think it is in their interest to do so, they have no reason to disobey, or they fear punishment. Above all, people obey their government because it has authority; its power is seen by people as rightfully held, as legitimate. People can grant their government legitimacy because they have been socialized to do so; because there are processes, such as elections, that enable them to choose and change their rulers; and because they believe that their governing institutions operate justly. Politics is the process by which leaders are selected and policy decisions are made and executed. It involves people and groups, both inside and outside of government, engaged in deliberation and debate, disagreement and conflict, cooperation and consensus, and power struggles. In covering American government and politics, our text introduces the intricacies of the Constitution, the complexities of federalism, the meanings of civil liberties, and the conflicts over civil rights;explains how people are socialized to politics, acquire and express opinions, and participate in political life; describes interest groups, political parties, and electionsâ€”the intermediaries that link people to government and politics; details the branches of government and how they operate; and shows how policies are made and affect people's lives.",Attribution-NonCommercial-ShareAlike,9781946135087
Business English for Success,2011,"Scott McLean, Arizona Western College - Author",Saylor Foundation,"Business English for Success is a creative solution to a common challenge across Business Communication courses: Business English or Business Presentations? Some classes place an equal emphasis on oral and written communication. If that's the case for you check out our text Business Communication for Success. If, however, your class places the emphasis squarely on written communication and writing proficiency, then Business English for Success is for you. Business English for Success provides instruction in steps, builds writing, reading, and critical thinking, and combines comprehensive grammar review with an introduction to paragraph writing and composition. This step-by-step approach provides a clear path to student-centered learning. A wide range of writing levels and abilities are addressed, helping each student prepare for the next writing or university course. The text opens with a discussion on the sentence and then breaks it down into its elemental components, before reconstructing them into effective sentences, paragraphs, and larger assignments. Then, starting in Chapter 9: Effective Business Writing, the discussion applies lessons learned from the previous foundational chapters into common business issues and applications. From paraphrasing and plagiarism to style to the research process, the expectations increase as several common business documents are presented, including text messages and e-mail, memorandums and letters, the business proposal, business report, resume, and the sales message. This textbook has been used in classes at:Arizona Western College, Hostos Community College, Virginia State University, Truckee Meadows Community College, San Jose State University, Concordia University - Irvine, University New Brunswick - Fredericton, Cerritos College, University of Houston - Downtown, Flat World Knowledge University, A-C Central High School, University of The People, Truckee Meadows Community College, Danville Community High School",Attribution-NonCommercial-ShareAlike,9781453321966
Criminal Law,2015,,University of Minnesota Libraries Publishing,"Criminal Law uses a two-step process to augment learning, called the applied approach. First, after building a strong foundation from scratch, Criminal Law introduces you to crimes and defenses that have been broken down into separate components. It is so much easier to memorize and comprehend the subject matter when it is simplified this way. However, becoming proficient in the law takes more than just memorization. You must be trained to take the laws you have studied and apply them to various fact patterns. Most students are expected to do this automatically, but application must be seen, experienced, and practiced before it comes naturally. Thus the second step of the applied approach is reviewing examples of the application of law to facts after dissecting and analyzing each legal concept. Some of the examples come from cases, and some are purely fictional. All the examples are memorable, even quirky, so they will stick in your mind and be available when you need them the most (like during an exam). After a few chapters, you will notice that you no longer obsess over an explanation that doesn't completely make sense the first time you read itâ€”you will just skip to the example. The examples clarify the principles for you, lightening the workload significantly.",Attribution-NonCommercial-ShareAlike,9781453311455
Essentials of Geographic Information Systems,2011,"Jonathan Campbell, UCLA - Author
MIchael Shin, UCLA - Author",Saylor Foundation,"Essentials of Geographic Information Systems integrates key concepts behind the technology with practical concerns and real-world applications. Recognizing that many potential GIS users are nonspecialists or may only need a few maps, this book is designed to be accessible, pragmatic, and concise. Essentials of Geographic Information Systems also illustrates how GIS is used to ask questions, inform choices, and guide policy. From the melting of the polar ice caps to privacy issues associated with mapping, this book provides a gentle, yet substantive, introduction to the use and application of digital maps, mapping, and GIS. In today's world, learning involves knowing how and where to search for information. In some respects, knowing where to look for answers and information is arguably just as important as the knowledge itself. Because Essentials of Geographic Information Systems is concise, focused, and directed, readers are encouraged to search for supplementary information and to follow up on specific topics of interest on their own when necessary. Essentials of Geographic Information Systems provides the foundations for learning GIS, but readers are encouraged to construct their own individual frameworks of GIS knowledge. The benefits of this approach are two-fold. First, it promotes active learning through research. Second, it facilitates flexible and selective learningâ€”that is, what is learned is a function of individual needs and interest. Since GIS and related geospatial and navigation technology change so rapidly, a flexible and dynamic text is necessary in order to stay current and relevant. Though essential concepts in GIS tend to remain constant, the situations, applications, and examples of GIS are fluid and dynamic. Though this book is intended for use in introductory GIS courses, Essentials of Geographic Information Systems will also appeal to the large number of certificate, professional, extension, and online programs in GIS that are available today. In addition to providing readers with the tools necessary to carry out spatial analyses, Essentials of Geographic Information Systems outlines valuable cartographic guidelines for maximizing the visual impact of your maps. The book also describes effective GIS project management solutions that commonly arise in the modern workplace.",Attribution-NonCommercial-ShareAlike,9781453322307
Exploring Perspectives: A Concise Guide to Analysis,2011,"Randall Fallows, University of California Los Angeles - Author",Saylor Foundation,"The reason why Randall Fallows wrote Exploring Perspectives: A Concise Guide to Analysis is simple: to help give students a better understanding of how to discover, develop, and revise an analytical essay. Here is how his 5 chapter book goes about doing just that: The first two chapters focus on the nature of an analysis and what's involved in writing an analytical essay. Randall shows that analysis consists of a balance of assertions (statements which present their viewpoints or launch an exploration of their concerns), examples (specific passages/scenes/events which inspire these views), explanations (statements that reveal how the examples support the assertions), and significance (statements which reveal the importance of their study to personal and/or cultural issues). After showing why each feature should be present throughout an essay, he reveals how to ""set the stage"" for producing one of their own. He first helps students to evaluate their own views on a subject and to examine how these views emerge from their own experiences, values and judgments. He, then, shows them how to research what others have said about the subject and provides suggestions for evaluating and incorporating this research into their own perspectives. Finally, Randall discusses the nature of writing, not as a linear procedure, but as a recursive process where the discovery and clarification of a concept occur simultaneously. The remaining three chapters reveal more specific advice on how to develop an analytical essay. Exploring Perspectives: A Concise Guide to Analysis by Randall Fallows is a great text to prepare any student to write analytical essays for the argument and persuasion courses.",Attribution-NonCommercial-ShareAlike,
"General Chemistry: Principles, Patterns, and Applications",2011,"Bruce Averill, Strategic Energy Security Solutions - Author
Patricia Eldredge, R.H. Hand, LLC - Author",Saylor Foundation,"The overall goal of the authors with General Chemistry: Principles, Patterns, and Applications was to produce a text that introduces the students to the relevance and excitement of chemistry. Although much of first-year chemistry is taught as a service course, Bruce and Patricia feel there is no reason that the intrinsic excitement and potential of chemistry cannot be the focal point of the text and the course. So, they emphasize the positive aspects of chemistry and its relationship to students' lives, which requires bringing in applications early and often. In addition, the authors feel that many first year chemistry students have an enthusiasm for biologically and medically relevant topics, so they use an integrated approach in their text that includes explicit discussions of biological and environmental applications of chemistry. Topics relevant to materials science are also introduced to meet the more specific needs of engineering students. To facilitate integration of such material, simple organic structures, nomenclature, and reactions are introduced very early in the text, and both organic and inorganic examples are used wherever possible. This approach emphasizes the distinctions between ionic and covalent bonding, thus enhancing the students' chance of success in the organic chemistry course that traditionally follows general chemistry. Finally, the authors made a conscious effort to treat material that has traditionally been relegated to boxes, and thus perhaps perceived as peripheral by the students, by incorporating it into the text to serve as a learning tool. To begin the discussion of chemistry rapidly, the traditional first chapter introducing units, significant figures, conversion factors, dimensional analysis, and so on, has been reorganized. The material has been placed in the chapters where the relevant concepts are first introduced, thus providing three advantages: Eliminates the tedium of the traditional approach, which introduces mathematical operations at the outset, and thus avoids the perception that chemistry is a mathematics course; Avoids the early introduction of operations such as logarithms and exponents, which are typically not encountered again for several chapters and may easily be forgotten when they are needed; and Provides a review for those students who have already had relatively sophisticated high school chemistry and math courses, although the sections are designed primarily for students unfamiliar with the topic. Consider this text for your course if you are interested in In summary, a text that represents a step in the evolution of general chemistry texts toward one that reflects the increasing overlap between chemistry and other disciplines. Most importantly, if you want a text that discusses exciting and relevant aspects of biological, environmental, and materials science that are usually relegated to the last few chapters, in a format that allows the you to tailor the emphasis to the needs of the class. Request your desk copy today.",Attribution-NonCommercial-ShareAlike,9781946135117
Beginning ExcelÂ®,2017,Multiple Authors - Author,Open Oregon Educational Resources,"This textbook was written for a community college introductory course in spreadsheets utilizing Microsoft Excel. While the figures shown utilize Excel 2016, the textbook was written to be applicable to other versions of Excel as well. The book introduces new users to the basics of spreadsheets and is appropriate for students in any major who have not used Excel before.",Attribution-NonCommercial-ShareAlike,9781453312995
Human Resource Management,2016,,University of Minnesota Libraries Publishing,"Human Resource Management teaches HRM strategies and theories that any managerâ€”not just those in HRâ€”needs to know about recruiting, selecting, training, and compensating people. Most students will be managing people at some point in their careers and not necessarily in a human resource management capacity. As businesses cut back, they may outsource HR duties to outside vendors. Or, in smaller businesses, the HR department is sometimes small or non-existent, and managers from other departments have to perform their own HRM. Therefore, teaching HRM from the perspective of a general manager, in addition to an HR manager, provides more relevance to students' careers and will give them a competitive advantage in the workplace. This text also provides practical applications of theory relevant to today's workplace. You won't find discussions about â€œposting vacancies on a job boardâ€� or â€œsending memos.â€� In the real world, HRM leverages technology in every aspect of the jobâ€”from online training modules to technology for better managing flex-time workers and telecommuters. Consider how most companies have gone â€œpaperlessâ€� with pay stubs by using software. While such technology has made HRM easier, it has also created a new set of challenges. For example, how does a manager actually implement a new pay system? Therefore, it's important for students to understand what kinds of platforms exist in today's workplace to enhance their effectiveness as future managers. The conversational style of Human Resource Management engages students, while the academic rigor of its content provides them with the tools that any manager needsâ€”whether they work in HR or a different department. PLUS it offers an array of supplements that gives them practice creating real HR documents and role-playing real HR scenarios. Add value to your students' education, enhance the relevance of your curriculum, and make your students more employable by adopting this book for your HRM class. Read it now online today!",Attribution-NonCommercial-ShareAlike,9781946135148
International Business,2011,"Mason A Carpenter, University of Wisconsin at Madison - Author
Sanjyot P Dunung, Atma Global - Author",Saylor Foundation,"International Business is one of the most challenging and exciting courses to teach in the Business School. To teach a current, dynamic and complete course you need a textbook by authors as passionate and informed about International Business as you are. Carpenter and Dunung's International Business: The Opportunities and Challenges of a Flat World provides exploration into building, leading, and thriving in global organizations in an increasingly flat world. The authors define â€�Flat worldâ€œ as one whereservice industries that dwarf manufacturing industries in terms of scale and scope,an Internet that pervades life and work, andnetworks define modern businesses, whether service or manufacturing. Carpenter and Dunung's text is designed to speak to technologically-savvy students who see national borders as bridges and not barriers. The authors use the lexicon of international business, and additionally, develop students' knowledge of international contexts with the aim that they may launch, run, and work in any organization that is global in scope (or is wrestling with global competition or other global threats). The textbook is organized in 5 Sections: Section 1 introduces the global business course and concludes with a chapter on seizing global opportunities. Section 2 develops student knowledge about key facets of the global business environment, while Section 3 develops knowledge about how a student or organization can exploit opportunities in that global environment. Section 4 is devoted to entrepreneurship in a flat world â€” this section will explore why the entrepreneurial context is changing, provide lenses for identifying and capitalizing on entrepreneurial opportunities, and Section 5 shows how key organizational activities can be managed for global effectiveness. Every chapter has five enumerated learning objectives, each of these five sections concludes with a short summary (â€�Key Takeawaysâ€œ) and five review questions. In addition, each chapter concludes with a mini case on a unique global business that encompasses the topics shown in the chapter. The authors even provide a set of end-of-chapter questions that are mapped to AACSB learning standards, so that you will be able to measure how well students are grasping course content that aligns with the AACSB guidelines. Request a desk copy of Carpenter and Dunung's International Business: The Opportunities and Challenges of a Flat World to experience its current and progressive look at International Business for yourself.",Attribution-NonCommercial-ShareAlike,9781946135209
Mastering Strategic Management,2016,,University of Minnesota Libraries Publishing,"Teaching the strategic management course can be a challenge for many professors. In most business schools, strategic management is a â€œcapstoneâ€� course that requires students to draw on insights from various functional courses they have completed (such as marketing, finance, and accounting) in order to understand how top executives make the strategic decisions that drive whether organizations succeed or fail. Although students have taken these functional courses, many students have very little experience with major organizational choices. It is this inexperience that can undermine many students' engagement in the course. Mastering Strategic Management is designed to enhance student engagement in three innovative ways. The first is through visual adaptations of the key content in the book. It is well documented that many of today's students are visual learners. To meet students' wants and needs (and thereby create a much better teaching experience for professors), Mastering Strategic Management contains multiple graphic concept pages in ever section of every chapter of the book. Think of graphic concept pages as almost like info-graphics for key concepts in each section. This feature sets Mastering Strategic Management apart from any strategic management book on the market today. The second way the authors capture student interest through their textbook is by using a real-world company as the running example in each chapter. For example, Chapter 1 in Mastering Strategic Management utilizes Apple to harness the conceptual coverage of the chapter in a running, corporate, application to which students will relate. The third inventive way Mastering Strategic Management holds the attention of strategic management students is through the â€œstrategy at the moviesâ€� feature in each chapter that links course concepts with a popular motion picture. In Chapter 1, for example, the authors describe how â€œThe Social Networkâ€� illustrates intended, emergent, and realized strategies. You can expect Mastering Strategic Management to cover all of the traditional topics that standard strategic management texts cover, but in an exciting way that will assist you in engaging your students in your course. See for yourself by checking out the book online today.",Attribution-NonCommercial-ShareAlike,
Principles of Social Psychology,2015,,University of Minnesota Libraries Publishing,"Have you ever had trouble teaching the various topics of social psychology and fitting them together to form a coherent field? Unnamed Author felt like he was presenting a laundry list of ideas, research studies, and phenomena, rather than an integrated set of principles and knowledge. He wondered how his students could be expected to remember and understand the many phenomena that social psychologists study? How could they tell what was most important? It was then that he realized a fresh approach to a Social Psychology textbook was needed to structure and integrate student learning; thus, Principles of Social Psychology was born. This textbook is based on a critical thinking approach, and its aim is to get students thinking actively and conceptually â€“ with a greater focus on the forest than the trees. Yes, there are right and wrong answers, but the answers are not the only thing. What is perhaps even more important is how students get to the answers â€“ the thinking process itself. To help students better grasp the big picture of social psychology, and to provide you with a theme that you can use to organize your lectures, Unnamed Author's text has a consistent pedagogy across the chapters. The presentation is organized around two underlying principles that are essential to social psychology: Person and Situation (the classic treatment)The ABCs of social psychology (Affect, Behavior, and Cognition) The author believes these dimensions are fundamental, that they are extremely heuristic, and that they are what he hopes your students (and his) will learn and remember. You may find that this organization represents a more explicit representation of what you're already doing in your lectures. Although the pedagogy is consistent, it is not constraining. You can and will use these dimensions more in some lectures than in others, and you will find them more useful for some topics than others. But they will always work for you when you are ready for them. Perhaps most important, a focus on these dimensions helps us bridge the gap between the textbook, the real-life experiences of our students, and our class presentations. It is almost impossible to can't cover every phenomenon in your lectures â€“ you can naturally let the textbook fill in the details. The goal of Principles of Social Psychology is to allow you to rest assured that the text has provided your students with the foundationsâ€“ the fundamental language of social psychology â€“ from which you can build as you see fit. And when you turn to ask students to apply their learning to real life, you can know that they will be doing this as social psychologists do â€“ using a basic underlying framework. A note about the organization of this text: it moves systematically from lower to higher levels of analysis â€“ a method that makes sense to students. On the other hand, Unnamed Author insists, the chapter order should not constrain you â€“ choose a different order if you wish. Chapter 1 presents an introduction to social psychology and the research methods in social psychology, Chapter 2 presents the fundamental principles of social cognition, and Chapter 3 focuses on social affect. The remainder of the text is organized around three levels of analysis, moving systematically from the individual level (Chapters 4-6), to the level of social interaction (Chapters 7-10) to the group and cultural level (Chapters 11-13). Rather than relying on â€œmodulesâ€� or â€œappendicesâ€� of applied materials, this text integrates applied concepts into the text itself. This approach is consistent with the underlying theme that if students learn to think like social psychologists they will easily and naturally apply that knowledge to any and all applications. The following applications are woven throughout the text: Business and Consumer behavior Environment Health Law It is the ""thinking like a social psychologist"" theme, structured approach and new pedagogy (like research foci and Social Psychology in the Public Interest), that will make teaching and learning Social Psychology from this textbook an even more exciting and rewarding endeavor.",Attribution-NonCommercial-ShareAlike,9781453317259
